Simulation time: 56.4112 ms
Variable u[787] changes: 141
Variable u[788] changes: 148
Variable u[789] changes: 137
Variable u[790] changes: 149
Variable u[791] changes: 150
Variable u[792] changes: 152
Variable u[793] changes: 164
Variable u[794] changes: 161
Variable u[795] changes: 169
Variable u[796] changes: 176
Variable u[797] changes: 163
Variable u[798] changes: 161
Variable u[799] changes: 141
Variable u[800] changes: 150
Variable u[801] changes: 162
Variable u[802] changes: 169
Variable u[803] changes: 206
Variable u[804] changes: 205
Variable u[805] changes: 198
Variable u[806] changes: 202
Variable u[807] changes: 191
Variable u[808] changes: 167
Variable u[809] changes: 154
Variable u[810] changes: 127
Variable u[811] changes: 118
Variable u[812] changes: 133
Variable u[813] changes: 143
Variable u[814] changes: 143
Variable u[815] changes: 155
Variable u[816] changes: 135
Variable u[817] changes: 126
Variable u[818] changes: 102
Variable u[819] changes: 100
Variable u[820] changes: 111
Variable u[821] changes: 111
Variable u[822] changes: 128
Variable u[823] changes: 145
Variable u[824] changes: 179
Variable u[825] changes: 167
Variable u[826] changes: 145
Variable u[827] changes: 145
Variable u[828] changes: 183
Variable u[829] changes: 183
Variable u[830] changes: 168
Variable u[831] changes: 176
Variable u[832] changes: 173
Variable u[833] changes: 141
Variable u[834] changes: 124
Variable u[835] changes: 120
Variable u[836] changes: 125
Variable u[837] changes: 132
Variable u[838] changes: 131
Variable u[839] changes: 143
Variable u[840] changes: 131
Variable u[841] changes: 121
Variable u[842] changes: 125
Variable u[843] changes: 127
Variable u[844] changes: 117
Variable u[845] changes: 120
Variable u[846] changes: 126
Variable u[847] changes: 125
Variable u[848] changes: 121
Variable u[849] changes: 160
Variable u[850] changes: 191
Variable u[851] changes: 167
Variable u[852] changes: 141
Variable u[853] changes: 132
Variable u[854] changes: 133
Variable u[855] changes: 114
Variable u[856] changes: 120
Variable u[857] changes: 125
Variable u[858] changes: 132
Variable u[859] changes: 156
Variable u[860] changes: 195
Variable u[861] changes: 187
Variable u[862] changes: 147
Variable u[863] changes: 138
Variable u[864] changes: 118
Variable u[865] changes: 128
Variable u[866] changes: 180
Variable u[867] changes: 196
Variable u[868] changes: 193
Variable u[869] changes: 212
Variable u[870] changes: 141
Variable u[871] changes: 165
Variable u[872] changes: 152
Variable u[873] changes: 162
Variable u[874] changes: 187
Variable u[875] changes: 193
Variable u[876] changes: 184
Variable u[877] changes: 194
Variable u[878] changes: 199
Variable u[879] changes: 188
Variable u[880] changes: 172
Variable u[881] changes: 173
Variable u[882] changes: 166
Variable u[883] changes: 234
Variable u[884] changes: 260
Variable u[885] changes: 229
Variable u[886] changes: 204
Variable u[887] changes: 171
Variable u[888] changes: 166
Variable u[889] changes: 174
Variable u[890] changes: 184
Variable u[891] changes: 187
Variable u[892] changes: 186
Variable u[893] changes: 166
Variable u[894] changes: 141
Variable u[895] changes: 116
Variable u[896] changes: 92
Variable u[897] changes: 84
Variable u[898] changes: 117
Variable u[899] changes: 143
Variable u[900] changes: 150
Variable u[901] changes: 126
Variable u[902] changes: 114
Variable u[903] changes: 127
Variable u[904] changes: 155
Variable u[905] changes: 167
Variable u[906] changes: 143
Variable u[907] changes: 129
Variable u[908] changes: 164
Variable u[909] changes: 196
Variable u[910] changes: 205
Variable u[911] changes: 223
Variable u[912] changes: 232
Variable u[913] changes: 209
Variable u[914] changes: 137
Variable u[915] changes: 135
Variable u[916] changes: 140
Variable u[917] changes: 151
Variable u[918] changes: 130
Variable u[919] changes: 114
Variable u[920] changes: 106
Variable u[921] changes: 99
Variable u[922] changes: 123
Variable u[923] changes: 125
Variable u[924] changes: 138
Variable u[925] changes: 145
Variable u[926] changes: 138
Variable u[927] changes: 145
Variable u[928] changes: 131
Variable u[929] changes: 132
Variable u[930] changes: 134
Variable u[931] changes: 158
Variable u[932] changes: 180
Variable u[933] changes: 190
Variable u[934] changes: 210
Variable u[935] changes: 184
Variable u[936] changes: 173
Variable u[937] changes: 172
Variable u[938] changes: 185
Variable u[939] changes: 196
Variable u[940] changes: 199
Variable u[941] changes: 190
Variable u[942] changes: 163
Variable u[943] changes: 145
Variable u[944] changes: 130
Variable u[945] changes: 150
Variable u[946] changes: 148
Variable u[947] changes: 138
Variable u[948] changes: 150
Variable u[949] changes: 156
Variable u[950] changes: 133
Variable u[951] changes: 162
Variable u[952] changes: 151
Variable u[953] changes: 128
Variable u[954] changes: 143
Variable u[955] changes: 155
Variable u[956] changes: 164
Variable u[957] changes: 163
Variable u[958] changes: 175
Variable u[959] changes: 159
Variable u[960] changes: 185
Variable u[961] changes: 219
Variable u[962] changes: 211
Variable u[963] changes: 181
Variable u[964] changes: 173
Variable u[965] changes: 131
Variable u[966] changes: 141
Variable u[967] changes: 147
Variable u[968] changes: 171
Variable u[969] changes: 167
Variable u[970] changes: 158
Variable u[971] changes: 152
Variable u[972] changes: 145
Variable u[973] changes: 147
Variable u[974] changes: 126
Variable u[975] changes: 119
Variable u[976] changes: 107
Variable u[977] changes: 119
Variable u[978] changes: 113
Variable u[979] changes: 120
Variable u[980] changes: 127
Variable u[981] changes: 112
Variable u[982] changes: 108
Variable u[983] changes: 128
Variable u[984] changes: 126
Variable u[985] changes: 134
Variable u[986] changes: 173
Variable u[987] changes: 190
Variable u[988] changes: 154
Variable u[989] changes: 139
Variable u[990] changes: 175
Variable u[991] changes: 165
Variable u[992] changes: 165
Variable u[993] changes: 159
Variable u[994] changes: 127
Variable u[995] changes: 122
Variable u[996] changes: 122
Variable u[997] changes: 126
Variable u[998] changes: 136
Variable u[999] changes: 143
Variable u[1000] changes: 119
Simulation transitions: 107073
Initialization time: 437.072 ms
Save data time: 151.789 ms
Total time: 645.272 ms

